ID,reg_time,reg_money,service_type,area,ent_type,cont_type,cid,stock_rate,flag
1500001,2010.0,6680.0,商业服务业,山东,股份有限公司,自然人,1.0,0.89,1.0
1501967,2011.0,6120.0,交通运输业,广西,集体所有制企业,企业法人,1967.0,0.81,1.0
1502041,2003.0,6840.0,零售业,福建,农民专业合作社,企业法人,2041.0,0.74,1.0
1502584,2009.0,3740.0,社区服务,山东,合伙企业,企业法人,2584.0,0.87,1.0
1503369,2011.0,3980.0,交通运输业,广西,农民专业合作社,企业法人,3369.0,0.74,1.0
1505078,2014.0,7060.0,零售业,福建,有限责任公司,企业法人,5078.0,0.56,1.0
1505270,2012.0,8530.0,交通运输业,广东,集体所有制企业,自然人,5270.0,0.77,1.0
1505351,2014.0,7330.0,交通运输业,江西,农民专业合作社,自然人,5351.0,0.88,1.0
1505369,2005.0,6310.0,工业,江西,农民专业合作社,,5369.0,0.87,1.0
1505911,2004.0,4640.0,社区服务,广西,农民专业合作社,企业法人,5911.0,0.89,1.0
1506083,2011.0,1710.0,商业服务业,江西,合伙企业,企业法人,6083.0,0.91,1.0
1506268,2013.0,1220.0,交通运输业,湖北,集体所有制企业,自然人,6268.0,0.97,1.0
1507545,2000.0,3840.0,零售业,山东,有限责任公司,企业法人,7545.0,0.59,1.0
1508300,2012.0,4120.0,工业,江西,集体所有制企业,自然人,8300.0,0.71,1.0
1511327,2013.0,6320.0,商业服务业,福建,股份有限公司,自然人,11327.0,0.63,1.0
1511944,2012.0,8540.0,服务业,湖南,农民专业合作社,自然人,11944.0,0.7,1.0
1512414,2007.0,580.0,交通运输业,湖北,股份有限公司,企业法人,12414.0,0.57,1.0
1512644,2011.0,3340.0,商业服务业,山东,农民专业合作社,自然人,12644.0,0.51,1.0
1513238,2000.0,9230.0,工业,广西,集体所有制企业,自然人,13238.0,0.57,1.0
1513300,2013.0,2560.0,工业,广东,农民专业合作社,自然人,13300.0,0.64,1.0
1513319,2012.0,1150.0,社区服务,福建,农民专业合作社,自然人,13319.0,0.71,1.0
1513491,2006.0,8340.0,工业,湖北,有限责任公司,企业法人,13491.0,0.97,1.0
1513523,2011.0,2890.0,工业,山东,集体所有制企业,自然人,13523.0,0.52,1.0
1513543,2004.0,350.0,工业,山东,集体所有制企业,自然人,13543.0,0.94,1.0
1513612,2006.0,9750.0,工业,广西,股份有限公司,自然人,13612.0,0.92,1.0
1513846,2011.0,2360.0,服务业,福建,股份有限公司,自然人,13846.0,0.99,1.0
1514287,2011.0,7980.0,社区服务,福建,有限责任公司,企业法人,14287.0,0.78,1.0
1514456,2002.0,2360.0,工业,广西,股份有限公司,企业法人,14456.0,0.86,1.0
1514971,2012.0,1690.0,服务业,广西,有限责任公司,企业法人,14971.0,0.66,1.0
1515386,2012.0,3510.0,服务业,广东,农民专业合作社,企业法人,15386.0,0.89,1.0
1515632,2013.0,8400.0,社区服务,湖南,农民专业合作社,自然人,15632.0,0.72,1.0
1515919,2013.0,1240.0,零售业,湖北,农民专业合作社,企业法人,15919.0,0.62,1.0
1516400,2010.0,5640.0,服务业,湖北,有限责任公司,企业法人,16400.0,0.92,1.0
1516606,2010.0,8760.0,工业,福建,合伙企业,企业法人,16606.0,0.69,1.0
1516890,2008.0,760.0,商业服务业,湖南,有限责任公司,企业法人,16890.0,0.61,1.0
1517061,2010.0,3520.0,工业,山东,股份有限公司,企业法人,17061.0,0.9,1.0
1517125,2005.0,8440.0,商业服务业,山东,农民专业合作社,企业法人,17125.0,1.0,1.0
1517424,2007.0,8970.0,服务业,广东,有限责任公司,自然人,17424.0,0.83,1.0
1517809,2008.0,8460.0,服务业,湖南,集体所有制企业,自然人,17809.0,0.78,1.0
1517844,2010.0,1800.0,社区服务,湖南,有限责任公司,企业法人,17844.0,0.57,1.0
1517864,2004.0,1480.0,商业服务业,广东,农民专业合作社,企业法人,17864.0,0.59,1.0
1518087,2003.0,2830.0,社区服务,湖南,农民专业合作社,企业法人,18087.0,0.76,1.0
1519515,2001.0,4160.0,社区服务,江西,股份有限公司,自然人,,0.83,1.0
1519586,2000.0,3470.0,商业服务业,广东,股份有限公司,自然人,19586.0,0.6,1.0
1520230,2010.0,7640.0,商业服务业,湖南,股份有限公司,自然人,20230.0,0.75,1.0
1520235,2012.0,1600.0,服务业,山东,股份有限公司,自然人,20235.0,0.55,1.0
1521133,2006.0,8710.0,商业服务业,江西,农民专业合作社,企业法人,21133.0,0.58,1.0
1521202,2008.0,3760.0,商业服务业,湖南,有限责任公司,自然人,21202.0,0.72,1.0
