ID,zqlimit,zqcost,gqlimit,gqcost,nbmylimit,nbmycost,xmzclimit,xmzccost,flag,population,allmoney,debt,income,mainincome,profit,rawprofit,tax,ownervalue
28,0.0,0.0,0.0,0.0,21648.0,1298.88,0.0,0.0,1.0,794.0,16400.0,28700.0,72160.0,28864.0,7216.0,-7216.0,0.0,-12300.0
230,0.0,0.0,0.0,0.0,0.0,0.0,470.4,28.224,1.0,485.0,23520.0,10080.0,115248.0,57624.0,57624.0,-11524.8,0.0,13440.0
429,19340.0,1547.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,136.0,193400.0,183730.0,502840.0,351988.0,103821.24351340148,-50284.0,0.0,9670.0
693,0.0,0.0,0.0,0.0,0.0,0.0,5350.4,321.024,1.0,534.0,133760.0,125400.0,655424.0,262169.6,196627.2,-65542.4,0.0,8360.0
727,0.0,0.0,32229.12,1289.1648,0.0,0.0,0.0,0.0,1.0,375.0,366240.0,536280.0,402864.0,282004.8,161145.6,-40286.4,0.0,-170040.0
1137,0.0,0.0,0.0,0.0,24460.8,1467.648,0.0,0.0,1.0,289.0,134989.7758716104,40320.0,81536.0,57075.2,32614.4,-8153.6,0.0,-11200.0
1274,0.0,0.0,11085.2,443.408,0.0,0.0,0.0,0.0,1.0,254.0,74900.0,104325.0,277130.0,110852.0,55426.0,-27713.0,0.0,-29425.0
1560,0.0,0.0,5880.0,235.2,0.0,0.0,0.0,0.0,1.0,491.0,105000.0,98000.0,147000.0,73500.0,29400.0,-14700.0,0.0,7000.0
1873,0.0,0.0,11007.36,440.2944,0.0,0.0,0.0,0.0,1.0,889.0,229320.0,222950.0,137592.0,55036.8,55036.8,-13759.2,0.0,6370.0
2260,0.0,0.0,0.0,0.0,0.0,0.0,11287.5,677.25,1.0,689.0,225750.0,325080.0,1128750.0,564375.0,338625.0,-112875.0,0.0,-99330.0
2694,0.0,0.0,0.0,0.0,65828.7,3949.722,0.0,0.0,1.0,258.0,51030.0,48600.0,219429.0,131657.4,87771.6,-21942.9,0.0,2430.0
2992,0.0,0.0,1708.8,68.352,0.0,0.0,0.0,0.0,1.0,114.0,106800.0,104130.0,42720.0,21360.0,8544.0,-4272.0,0.0,2670.0
3261,0.0,0.0,0.0,0.0,0.0,0.0,16680.0,1000.8,1.0,799.0,417000.0,822880.0,1751400.0,1401120.0,350280.0,-175140.0,0.0,-405880.0
3313,0.0,0.0,86275.2,3451.008,0.0,0.0,0.0,0.0,1.0,784.0,501600.0,986480.0,2156880.0,1294128.0,431376.0,-215688.0,0.0,-484880.0
3537,0.0,0.0,0.0,0.0,0.0,0.0,356.0,21.36,1.0,647.0,17800.0,13350.0,8900.0,4450.0,2670.0,-890.0,0.0,4450.0
